t,q,p
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,9.950549720253730746e-01,-9.830184604261507642e-02
2.000000000000000111e-01,9.804783414544208098e-01,-1.924457457779412128e-01
3.000000000000000444e-01,9.567400126682826800e-01,-2.813679341228008668e-01
4.000000000000000222e-01,9.244104515738789107e-01,-3.641236788787212686e-01
5.000000000000000000e-01,8.841480284148220958e-01,-4.399016839612356344e-01
6.000000000000000888e-01,8.366851275149540523e-01,-5.080343078061739792e-01
7.000000000000000666e-01,7.828134522114290617e-01,-5.680034223912175939e-01
8.000000000000000444e-01,7.233689616678924406e-01,-6.194419412081697551e-01
9.000000000000000222e-01,6.592168631513509736e-01,-6.621312356738491278e-01
1.000000000000000000e+00,5.912370524420266227e-01,-6.959948248094071088e-01
1.100000000000000089e+00,5.203103509202910981e-01,-7.210888564812866219e-01
1.200000000000000178e+00,4.473058294597446749e-01,-7.375899923503452804e-01
1.300000000000000044e+00,3.730694460333243145e-01,-7.457813624889035875e-01
1.400000000000000133e+00,2.984141560493850931e-01,-7.460372697994197555e-01
1.500000000000000000e+00,2.241115871709807306e-01,-7.388073024247024945e-01
1.600000000000000089e+00,1.508853069137144898e-01,-7.246004600228106440e-01
1.700000000000000178e+00,7.940565446281350193e-02,-7.039698247366975581e-01
1.800000000000000044e+00,1.028605943052527533e-02,-6.774982166214228441e-01
1.900000000000000133e+00,-5.591926876375302724e-02,-6.457851742626584679e-01
2.000000000000000000e+00,-1.187164262621687588e-01,-6.094355007575015248e-01
2.100000000000000089e+00,-1.776718393882437685e-01,-5.690495191011495368e-01
2.200000000000000178e+00,-2.324114029360463407e-01,-5.252150934031278862e-01
2.300000000000000266e+00,-2.826189084023957854e-01,-4.785013964016296972e-01
2.400000000000000355e+00,-3.280339330046159185e-01,-4.294543411820933021e-01
2.500000000000000000e+00,-3.684493498753579899e-01,-3.785935463913427945e-01
2.600000000000000089e+00,-4.037086045778270349e-01,-3.264106681779139763e-01
2.700000000000000178e+00,-4.337028853470778489e-01,-2.733689097437447812e-01
2.800000000000000266e+00,-4.583682947649544981e-01,-2.199035058014028599e-01
2.900000000000000355e+00,-4.776831100159284471e-01,-1.664229758195701070e-01
3.000000000000000000e+00,-4.916651984125013919e-01,-1.133109426747867937e-01
3.100000000000000089e+00,-5.003696348711857977e-01,-6.092832125318226044e-02
3.200000000000000178e+00,-5.038865490259100133e-01,-9.615693175646884000e-03
3.300000000000000266e+00,-5.023392119923647536e-01,4.030430219718685037e-02
3.400000000000000355e+00,-4.958823565213221762e-01,8.852471499355479834e-02
3.500000000000000000e+00,-4.847007097242650442e-01,1.347523082843132269e-01
3.600000000000000089e+00,-4.690077044949924057e-01,1.787059787864806737e-01
3.700000000000000178e+00,-4.490443246571215186e-01,2.201156778470730047e-01
3.800000000000000266e+00,-4.250780294002060034e-01,2.587219169839722888e-01
3.900000000000000355e+00,-3.974016951498174910e-01,2.942759220118483787e-01
4.000000000000000000e+00,-3.663325077770071547e-01,3.265404777525813262e-01
4.100000000000000533e+00,-3.322107349951939348e-01,3.552914812006315315e-01
4.200000000000000178e+00,-2.953983081023769941e-01,3.803201946588901095e-01
4.299999999999999822e+00,-2.562771451059235317e-01,4.014361611042849276e-01
4.400000000000000355e+00,-2.152471516328992029e-01,4.184707135843063197e-01
4.500000000000000000e+00,-1.727238454806899470e-01,4.312809776691640673e-01
4.600000000000000533e+00,-1.291355616038193654e-01,4.397542335682566583e-01
4.700000000000000178e+00,-8.492020964616572853e-02,4.438124730069132884e-01
4.800000000000000711e+00,-4.052157402038392836e-02,4.434169574902188660e-01
4.900000000000000355e+00,3.614832953027228429e-03,4.385725613571647696e-01
5.000000000000000000e+00,4.704633184302395993e-02,4.293316672235396037e-01
5.100000000000000533e+00,8.933799408739799552e-02,4.157973752234471743e-01
5.200000000000000178e+00,1.300678368556726083e-01,3.981257929089472847e-01
5.300000000000000711e+00,1.688321918282886525e-01,3.765271911300617780e-01
5.400000000000000355e+00,2.052511251315162211e-01,3.512658432802860387e-01
5.500000000000000000e+00,2.389737694098705290e-01,3.226584108885659496e-01
5.600000000000000533e+00,2.696834181994117730e-01,2.910707961171635771e-01
5.700000000000000178e+00,2.971022280765492352e-01,2.569134489669078203e-01
5.800000000000000711e+00,3.209953765137453785e-01,2.206351902518627617e-01
5.900000000000000355e+00,3.411745331944904813e-01,1.827156865585725654e-01
6.000000000000000000e+00,3.575005197898120657e-01,1.436567856658394204e-01
6.100000000000000533e+00,3.698850574320767248e-01,1.039729844582135687e-01
6.200000000000000178e+00,3.782915309049217356e-01,6.418135292884639964e-02
6.300000000000000711e+00,3.827347328552374028e-01,2.479127216802893413e-02
6.400000000000000355e+00,3.832795880345478134e-01,-1.370564080782202092e-02
6.500000000000000000e+00,3.800388947275196161e-01,-5.084505455022231279e-02
6.600000000000000533e+00,3.731701560643205795e-01,-8.619855070273113595e-02
6.700000000000000178e+00,3.628716057854111665e-01,-1.193810627843767402e-01
6.800000000000000711e+00,3.493775595945036172e-01,-1.500568923532294985e-01
6.900000000000000355e+00,3.329532430849898028e-01,-1.779441408035015715e-01
7.000000000000000000e+00,3.138892595784141815e-01,-2.028174731832599886e-01
7.100000000000000533e+00,2.924958653458072377e-01,-2.245092092477118939e-01
7.200000000000000178e+00,2.690972169887696497e-01,-2.429088113607360822e-01
7.300000000000000711e+00,2.440257445262060954e-01,-2.579609044236623183e-01
7.400000000000000355e+00,2.176167884523296236e-01,-2.696620164277223619e-01
7.500000000000000000e+00,1.902036172266428349e-01,-2.780562669443020773e-01
7.600000000000000533e+00,1.621129181328252178e-01,-2.832302541652735872e-01
7.700000000000000178e+00,1.336608287770463810e-01,-2.853073993739888015e-01
7.800000000000000711e+00,1.051495506405915048e-01,-2.844420016560731956e-01
7.900000000000000355e+00,7.686456174490388649e-02,-2.808132379996153283e-01
8.000000000000000000e+00,4.907242324198583805e-02,-2.746193169212953755e-01
8.099999999999999645e+00,2.201915553728083993e-02,-2.660719603653091681e-01
8.200000000000001066e+00,-4.070856090808642157e-03,-2.553913516266287931e-01
8.300000000000000711e+00,-2.899547828426178586e-02,-2.428016491180128023e-01
8.400000000000000355e+00,-5.257502884359078338e-02,-2.285271291609237421e-01
8.500000000000000000e+00,-7.465212304758980788e-02,-2.127889872187115894e-01
8.599999999999999645e+00,-9.509123313702705360e-02,-1.958027975251608044e-01
8.700000000000001066e+00,-1.137780257315952753e-01,-1.777766062792806023e-01
8.800000000000000711e+00,-1.306185384665907723e-01,-1.589096143598031363e-01
8.900000000000000355e+00,-1.455382519863613333e-01,-1.393913905206291270e-01
9.000000000000000000e+00,-1.584811069391062754e-01,-1.194015467173058787e-01
9.099999999999999645e+00,-1.694085085374071042e-01,-9.910980090225043893e-02
9.200000000000001066e+00,-1.782983535557555732e-01,-7.867635044155898982e-02
9.300000000000000711e+00,-1.851441070050744153e-01,-5.825247945760853724e-02
9.400000000000000355e+00,-1.899539481216835080e-01,-3.798132559701661304e-02
9.500000000000000000e+00,-1.927499980354271114e-01,-1.799873546736001709e-02
9.600000000000001421e+00,-1.935676346391553004e-01,1.565857348602146424e-03
9.700000000000001066e+00,-1.924548938330797043e-01,2.058859246990399697e-02
9.800000000000000711e+00,-1.894719505285457350e-01,3.895043605690928779e-02
